City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Shelburne,CA,2022-10-09 12:02:18,44.0787,-80.2041,42.37,92,57,10.98
68,Danielskuil,ZA,2022-10-09 12:05:05,-28.1887,23.5395,90.86,12,62,20.47
69,Barrow,US,2022-10-09 12:05:05,71.2906,-156.7887,19.42,93,0,8.05
70,Guerrero Negro,MX,2022-10-09 12:04:26,27.9769,-114.0611,68.77,90,0,8.7
71,Saint-Philippe,RE,2022-10-09 12:05:06,-21.3585,55.7679,76.59,66,1,13.13
72,Khasan,RU,2022-10-09 12:05:06,42.4308,130.6434,55.85,73,100,18.5
73,Nouadhibou,MR,2022-10-09 12:05:07,20.931,-17.0347,72.0,83,39,11.07
74,Alofi,NU,2022-10-09 12:05:07,-19.0595,-169.9187,75.16,83,100,29.57
75,Sitka,US,2022-10-09 12:05:07,57.0531,-135.33,60.69,77,100,9.22
76,Kansanshi,ZM,2022-10-09 12:05:08,-12.0951,26.4273,87.46,11,0,9.89
77,Ribeira Grande,PT,2022-10-09 12:05:08,38.5167,-28.7,75.78,88,40,12.66
78,Clyde River,CA,2022-10-09 12:05:09,70.4692,-68.5914,13.32,89,41,7.38
79,Chuy,UY,2022-10-09 12:05:09,-33.6971,-53.4616,51.22,56,1,14.07
80,Leh,IN,2022-10-09 12:05:09,34.1667,77.5833,52.39,19,0,3.36
81,Neiafu,TO,2022-10-09 12:05:10,-18.65,-173.9833,75.88,88,75,11.5
82,Magugu,TZ,2022-10-09 12:05:10,-4.0167,35.7667,89.31,21,98,7.63
83,Grand Gaube,MU,2022-10-09 12:05:10,-20.0064,57.6608,76.37,54,24,10.0
84,Saint Anthony,US,2022-10-09 12:00:28,45.0205,-93.218,43.72,84,0,0.0
85,Bluff,NZ,2022-10-09 12:05:11,-46.6,168.3333,56.25,63,100,13.24
86,Victoria,HK,2022-10-09 12:04:32,22.2855,114.1577,83.32,60,20,18.99
87,Cape Town,ZA,2022-10-09 12:05:11,-33.9258,18.4232,78.12,49,61,7.0
88,Vao,NC,2022-10-09 12:05:11,-22.6667,167.4833,73.02,79,0,23.94
89,Manoel Urbano,BR,2022-10-09 12:05:12,-8.8389,-69.2597,79.99,69,30,2.8
90,Saskylakh,RU,2022-10-09 12:05:12,71.9167,114.0833,-0.53,100,77,2.98
91,Hermanus,ZA,2022-10-09 12:05:12,-34.4187,19.2345,76.8,64,43,14.14
92,Pevek,RU,2022-10-09 12:05:13,69.7008,170.3133,25.92,72,100,26.78
93,Geraldton,AU,2022-10-09 12:05:13,-28.7667,114.6,63.01,77,40,6.91
94,Bambous Virieux,MU,2022-10-09 12:06:14,-20.3428,57.7575,76.21,62,42,13.09
